,Pokemon,Ball,Level,Hp,Status,Prob,Mean,Std
0,jolteon,pokeball,0,0.0,BURN,0.2456239490801618,0.2469241323781364,0.027565657445541358
1,jolteon,pokeball,0,0.1,BURN,0.24641893170005366,0.2470126748532673,0.026014111684748764
2,jolteon,pokeball,0,0.2,BURN,0.24549942979404685,0.2339321646643862,0.021208300492344925
3,jolteon,pokeball,0,0.2998,BURN,0.22129845645767252,0.21357813430658962,0.0190920261447358
4,jolteon,pokeball,0,0.4,BURN,0.2281557557034804,0.19777617318018018,0.02078053212301962
5,jolteon,pokeball,0,0.5,BURN,0.17488473237860802,0.18409644011137064,0.01946204031484145
6,jolteon,pokeball,0,0.5996,BURN,0.1711557877563913,0.16453819940745798,0.015330893842180122
7,jolteon,pokeball,0,0.6997,BURN,0.14044385400187717,0.15286299487662217,0.014157880704027627
8,jolteon,pokeball,0,0.8,BURN,0.1282257363436274,0.13458549483029067,0.011902833320017006
9,jolteon,pokeball,0,0.9,BURN,0.10879770734563908,0.11846430385656409,0.011050561917394253
10,jolteon,pokeball,0,1.0,BURN,0.09631429257520477,0.08837106626739173,0.007768151480761486
11,jolteon,pokeball,0,0.0,FREEZE,0.3434971409572274,0.3292145639915618,0.03107921088789407
12,jolteon,pokeball,0,0.1,FREEZE,0.2891629396353164,0.32905235840001984,0.032359726543519776
13,jolteon,pokeball,0,0.2,FREEZE,0.2855812729463398,0.30801858858747183,0.02959379743967197
14,jolteon,pokeball,0,0.2998,FREEZE,0.23708463863842041,0.29555040861271986,0.0261706721896971
15,jolteon,pokeball,0,0.4,FREEZE,0.24687698670887456,0.26814516948553224,0.02394857924154763
16,jolteon,pokeball,0,0.5,FREEZE,0.2759394172749043,0.24369958011872872,0.02549033050267615
17,jolteon,pokeball,0,0.5996,FREEZE,0.1944931661872052,0.22316749121617888,0.023386151646386594
18,jolteon,pokeball,0,0.6997,FREEZE,0.21523560906319358,0.20045424994261982,0.021564497302534374
19,jolteon,pokeball,0,0.8,FREEZE,0.16616821512448698,0.17844048038079194,0.01785900372967136
20,jolteon,pokeball,0,0.9,FREEZE,0.1733726360728219,0.1570259182760754,0.014111745884213841
21,jolteon,pokeball,0,1.0,FREEZE,0.0928579968858686,0.11743692186934628,0.013026839842973875
22,jolteon,pokeball,0,0.0,NONE,0.15864215465786077,0.16495868064249605,0.01591390264397399
23,jolteon,pokeball,0,0.1,NONE,0.15358639740209035,0.16467052766101614,0.016543039142579007
24,jolteon,pokeball,0,0.2,NONE,0.1618919931167663,0.15752055020273784,0.01531818758094869
25,jolteon,pokeball,0,0.2998,NONE,0.1135714487726051,0.14467987822387976,0.015531136990801981
26,jolteon,pokeball,0,0.4,NONE,0.1398555182365222,0.133724320545656,0.01140354397217325
